period;cod_cod;cod_id;cod_name;city;stratum;year;semester;school_state;school_city;faculty;program;cod_snies;knowledge_area;shift;age;civil_status;gender;residence_zone;foreign;school_name;school_calendar;school_character;school_language;school_methodology;academic_aid;financial_aid;other_aid;study_and_work;age_mod;cantidad_matriculas;Cluster
2014-01;5607C;10000U;6386N;cali;2;2014;1;valle del cauca;cali;Engineering;ingenieria mecanica;20096;ingenieria arquitectura urbanismo y afines;nocturna;19;soltero;M;nd;no;instituto tecnico industrial san juan bosco cali;b;masculino;nd;nd;nd;nd;nd;nd;15-20;1;0
2013-03;5234C;10001U;13530N;cali;4;2013;2;valle del cauca;cali;Administrative Sciences;contaduria publica;20109;economia administracion contaduria y afines;nocturna;18;soltero;F;nd;no;colegio de nuestra senora de la consolacion cali;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;1
2017-01;9197C;10002U;2722N;cali;2;2017;1;valle del cauca;cali;Administrative Sciences;contaduria publica;20109;economia administracion contaduria y afines;nocturna;21;soltero;M;urbana;no;institucion educativa tecnico industrial diez de mayo;a;mixto;ingles:frances;educacion tradicional;si;si;si;si;21-25;2;1
2016-01;8426C;10003U;9128N;cali;3;2016;1;valle del cauca;cali;Engineering;ingenieria electrica;20113;ingenieria arquitectura urbanismo y afines;nocturna;20;soltero;M;nd;no;colegio santa isabel de hungria sede alfonso lopez;b;mixto;espanol;educacion tradicional;nd;nd;nd;no;15-20;1;0
2014-01;5472C;10004U;623N;cali;5;2014;1;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;18;union libre;F;nd;no;colegio santa maria stella maris;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2015-03;7486C;10005U;2646N;tulua;4;2015;2;valle del cauca;tulua;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;20;soltero;M;nd;no;colegio salesiano san juan bosco tulua;a;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2014-03;6437C;10006U;17215N;cali;6;2014;2;valle del cauca;cali;Engineering;ingenieria mecanica;20096;ingenieria arquitectura urbanismo y afines;nocturna;19;soltero;M;nd;no;colegio los andes cali;a;mixto;nd;nd;nd;nd;nd;nd;15-20;1;0
2014-01;5591C;10007U;4695N;cali;5;2014;1;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;19;soltero;F;nd;no;institucion educativa tecnico industrial jose maria carbonell;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
2016-03;8893C;10008U;274N;cali;6;2016;2;valle del cauca;cali;Engineering;diseno industrial;103338;bellas artes;diurna;21;soltero;M;urbana;no;colegio los andes cali;b;mixto;espanol:ingles;aceleracion del aprendizaje;si;no;no;no;21-25;1;0
2018-01;11054C;10009U;4827N;cali;5;2018;1;valle del cauca;cali;Administrative Sciences;mercadeo y negocios internacionales;20100;economia administracion contaduria y afines;diurna;22;soltero;F;urbana;no;institucion educativa tecnico de comercio santa cecilia;b;mixto;espanol:ingles;educacion tradicional;no;no;no;si;21-25;1;1
2020-01;13699C;1000U;13073N;corinto;1;2020;1;cauca;corinto;Engineering;ingenieria multimedia;20146;ingenieria arquitectura urbanismo y afines;diurna;17;soltero;M;nd;no;nucleo escolar rural de corinto;a;mixto;espanol;educacion tradicional;nd;nd;nd;nd;15-20;1;0
2014-01;5810C;10010U;4067N;cali;4;2014;1;valle del cauca;cali;communication and social sciences;comunicacion social periodismo;20106;ciencias sociales y humanas;diurna;18;soltero;F;nd;no;colegio americas unidas;b;femenino;nd;nd;nd;nd;nd;nd;15-20;1;0
2014-01;5393C;10011U;8410N;candelaria;2;2014;1;valle del cauca;cali;Engineering;ingenieria electrica;20113;ingenieria arquitectura urbanismo y afines;nocturna;18;soltero;M;nd;no;colegio san francisco de asis cali;nd;nd;nd;nd;nd;nd;nd;nd;15-20;1;0
